City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
0,Olgod,DK,1/4/2020 21:21,55.81,8.63,36,80,0,4.7,clear sky,0,0
1,Vostok,RU,1/4/2020 21:21,46.45,135.83,-7.71,97,100,4.59,light snow,0,0
2,Faanui,PF,1/4/2020 21:21,-16.48,-151.75,81.45,77,100,12.1,overcast clouds,0,0
3,Rikitea,PF,1/4/2020 21:21,-23.12,-134.97,77.2,77,67,16.6,broken clouds,0,0
4,Cape Town,ZA,1/4/2020 21:20,-33.93,18.42,68,72,20,4.7,few clouds,0,0
5,Sampit,ID,1/4/2020 21:21,-2.54,112.95,75.43,97,100,1.16,overcast clouds,0,0
6,Biltine,TD,1/4/2020 21:21,14.53,20.93,62.91,20,0,17.56,clear sky,0,0
7,Iqaluit,CA,1/4/2020 21:19,63.75,-68.52,-18,68,40,32.21,scattered clouds,0,0
8,Busselton,AU,1/4/2020 21:16,-33.64,115.35,57,43,0,10.63,clear sky,0,0
9,Adrar,DZ,1/4/2020 21:21,27.87,-0.29,50,29,85,12.75,overcast clouds,0,0
10,Lebu,ET,1/4/2020 21:21,8.96,38.73,59,58,20,4.7,few clouds,0,0
11,Quelimane,MZ,1/4/2020 21:21,-17.88,36.89,80.51,85,88,6.58,overcast clouds,0,0
12,Xining,CN,1/4/2020 21:21,36.62,101.77,18.09,89,99,2.35,overcast clouds,0,0
13,Maniitsoq,GL,1/4/2020 21:18,65.42,-52.9,21.63,58,100,4.21,overcast clouds,0,0
14,Port Alfred,ZA,1/4/2020 21:21,-33.59,26.89,72,98,100,1.99,overcast clouds,0,0
15,Mbaiki,CF,1/4/2020 21:21,3.87,17.99,72.82,30,11,3,few clouds,0,0
16,Ilulissat,GL,1/4/2020 21:21,69.22,-51.1,10.4,66,100,13.87,overcast clouds,0,0
17,Salinas,US,1/4/2020 21:21,36.67,-121.66,63,63,1,8.05,clear sky,0,0
18,Shache,CN,1/4/2020 21:21,38.42,77.24,17.64,76,0,2.66,clear sky,0,0
19,Qaanaaq,GL,1/4/2020 21:21,77.48,-69.36,-40.9,61,0,5.1,clear sky,0,0
20,Punta Arenas,CL,1/4/2020 21:21,-53.16,-70.91,55.4,50,75,17.22,broken clouds,0,0
21,Butaritari,KI,1/4/2020 21:21,3.07,172.79,84.61,78,38,15.12,scattered clouds,0,0
22,Port Macquarie,AU,1/4/2020 21:17,-31.43,152.91,78.01,78,90,8.05,overcast clouds,0,0
23,Atuona,PF,1/4/2020 21:17,-9.8,-139.03,81.55,68,5,9.24,clear sky,0,0
24,Grand Haven,US,1/4/2020 21:19,43.06,-86.23,32,68,90,11.41,overcast clouds,0,0
25,Hobart,AU,1/4/2020 21:20,-42.88,147.33,57,43,75,5.82,broken clouds,0,0
26,Comodoro Rivadavia,AR,1/4/2020 21:18,-45.87,-67.48,66.2,42,40,18.34,scattered clouds,0,0
27,Richards Bay,ZA,1/4/2020 21:21,-28.77,32.06,79.07,78,95,25.43,overcast clouds,0,0
28,Vrangel,RU,1/4/2020 21:21,42.73,133.08,24.01,66,0,21.27,clear sky,0,0
