City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ambon,FR,2020-01-04 00:15:33,47.55,-2.56,46.4,93,4,4.7
1,Chiredzi,ZW,2020-01-04 00:14:11,-21.05,31.67,73.45,75,0,5.41
2,Hilo,US,2020-01-04 00:15:34,19.71,-155.08,82.4,58,20,8.05
3,Hastings,NZ,2020-01-04 00:15:34,-39.64,176.84,59.54,71,66,11.3
4,Kawalu,ID,2020-01-04 00:15:34,-7.38,108.21,73.17,85,100,2.59
5,Punta Arenas,CL,2020-01-04 00:15:35,-53.16,-70.91,51.8,57,40,8.05
6,Port Hueneme,US,2020-01-04 00:11:05,34.15,-119.2,72.0,45,1,5.82
7,Katsuura,JP,2020-01-04 00:14:54,33.93,134.5,48.99,65,75,9.17
8,Yellowknife,CA,2020-01-04 00:12:20,62.45,-114.38,3.2,84,75,8.05
9,Mataura,NZ,2020-01-04 00:15:35,-46.19,168.86,52.0,65,99,20.0
10,Ushuaia,AR,2020-01-04 00:15:36,-54.81,-68.31,48.2,70,75,20.8
11,Lebu,ET,2020-01-04 00:15:36,8.96,38.73,57.2,67,75,4.7
12,Klaksvik,FO,2020-01-04 00:11:23,62.23,-6.59,33.8,64,29,17.22
13,Ust-Nera,RU,2020-01-04 00:15:36,64.57,143.24,-13.5,99,62,2.13
14,Omsukchan,RU,2020-01-04 00:15:37,62.53,155.8,-8.59,96,100,2.46
15,Ketchikan,US,2020-01-04 00:14:30,55.34,-131.65,33.8,93,90,18.34
16,Odesskoye,RU,2020-01-04 00:15:37,54.21,72.97,5.92,95,13,9.06
17,Los Tangos,HN,2020-01-04 00:15:37,15.15,-88.68,80.6,78,40,0.72
18,Hirara,JP,2020-01-04 00:15:38,24.8,125.28,68.0,72,20,5.82
19,Homer,US,2020-01-04 00:15:12,59.64,-151.54,21.2,57,90,5.82
20,Hobart,AU,2020-01-04 00:15:38,-42.88,147.33,82.0,24,92,6.93
21,Lashio,MM,2020-01-04 00:15:39,22.93,97.75,57.16,99,100,0.92
22,Ishigaki,JP,2020-01-04 00:15:39,24.34,124.16,69.8,73,40,10.29
23,Rikitea,PF,2020-01-04 00:14:04,-23.12,-134.97,79.72,76,100,10.67
24,Batticaloa,LK,2020-01-04 00:14:48,7.71,81.69,73.08,94,17,2.46
25,Kargasok,RU,2020-01-04 00:15:40,59.06,80.87,6.4,93,0,11.03
26,Bambous Virieux,MU,2020-01-04 00:15:40,-20.34,57.76,77.0,94,40,11.14
27,Port Elizabeth,US,2020-01-04 00:15:40,39.31,-74.98,50.0,93,75,4.99
28,Key West,US,2020-01-04 00:15:13,47.93,-96.78,26.6,92,90,8.05
29,Sisimiut,GL,2020-01-04 00:15:41,66.94,-53.67,9.54,77,86,3.87
30,Tasiilaq,GL,2020-01-04 00:14:28,65.61,-37.64,23.0,38,100,10.29
31,Pevek,RU,2020-01-04 00:14:59,69.7,170.27,-0.9,60,33,5.95
